siteID,stationID,total_time_potential_usage_per_station,total_time_spend_per_station_connected,total_time_spend_per_station_charged,station_utilization_connection_rate,station_utilization_charging_rate,station_utilization_charging_if_connected_rate
1,1-1-179-777,92555113.0,14923935.0,8567040.0,0.16124376618717973,0.09256149900654327,0.5740469922979429
1,1-1-179-799,92566359.0,16142455.0,11212858.0,0.1743879220743683,0.12113318619348526,0.6946191270163058
1,1-1-179-796,92571053.0,13378291.0,7588120.0,0.14451916194579748,0.08197076466225355,0.567196512618839
1,1-1-179-815,92552630.0,14620946.0,7835767.0,0.15797439791824391,0.0846628237360732,0.5359274974410001
1,1-1-179-797,92583144.0,13196783.0,6980226.0,0.14253980184557138,0.07539413437936392,0.5289339076046033
1,1-1-179-781,92566951.0,14011966.0,7417731.0,0.15137115189199654,0.08013368615760068,0.5293854552601683
1,1-1-179-800,92475353.0,14893163.0,9153795.0,0.1610500800142931,0.09898632125253959,0.6146306865774583
1,1-1-179-809,92483506.0,13663029.0,7910357.0,0.1477347647265881,0.08553262459578467,0.578960712152481
1,1-1-179-791,92559247.0,13664800.0,7709321.0,0.14763300742928473,0.08329066246617153,0.5641737164100462
1,1-1-179-794,92566832.0,12828341.0,7532170.0,0.13858463904220034,0.08137007432640668,0.5871507469282271
1,1-1-179-779,92474756.0,11600122.0,7303791.0,0.1254409581789002,0.07898145738281266,0.6296305331961164
1,1-1-179-801,92476501.0,12299937.0,7551581.0,0.133006081188128,0.08165945854720433,0.6139528194331402
1,1-1-179-790,92482649.0,12200871.0,7814369.0,0.13192605458349274,0.0844955143964356,0.6404763233706839
1,1-1-191-802,92489606.0,11803118.0,6786697.0,0.12761561553197664,0.07337794259822017,0.5749918792644452
1,1-1-191-789,92484192.0,12521560.0,4300643.0,0.13539135423273202,0.04650138479882054,0.3434590418446264
1,1-1-191-806,92569823.0,10563469.0,6684609.0,0.11411352704001605,0.07221153485407442,0.6328043372873059
1,1-1-191-785,92538658.0,11474840.0,4077660.0,0.12400050149851968,0.0440643952282083,0.3553565888500406
1,1-1-191-808,92550107.0,12028418.0,7210804.0,0.1299665488231148,0.07791243288351898,0.5994806632094096
1,1-1-191-782,92460450.0,11829825.0,6152898.0,0.1279447050063027,0.06654626924268701,0.5201174150927845
1,1-1-179-813,92485121.0,11338996.0,6989820.0,0.12260346180441284,0.07557777861370804,0.616440820686417
1,1-1-191-795,92048617.0,11285375.0,7435846.0,0.12260233089650874,0.08078172429250077,0.6588922388489528
1,1-1-191-807,92555601.0,13778631.0,7805990.0,0.14886868921093172,0.08433838596110461,0.5665287066617867
1,1-1-191-812,92130806.0,11056794.0,6096090.0,0.12001191002279954,0.06616777020272677,0.551343364089084
1,1-1-191-803,92227563.0,10950220.0,6924649.0,0.11873044937769851,0.07508220725728164,0.6323753312718832
1,1-1-191-778,92136863.0,10815652.0,6852353.0,0.11738680532242562,0.07437145977066748,0.6335589384717629
1,1-1-191-811,92107463.0,10581322.0,6908041.0,0.11488018077319098,0.0749997967048555,0.652852356255674
1,1-1-191-780,92202892.0,10883661.0,6611543.0,0.11804034302958741,0.0717064601401006,0.6074741761986155
1,1-1-191-786,92196494.0,10585392.0,6438636.0,0.11481338975861707,0.06983601784250061,0.6082567372091653
1,1-1-191-793,92478429.0,10673482.0,6738633.0,0.11541590958470975,0.07286707908933011,0.6313434547413862
1,1-1-191-784,92037814.0,10244990.0,5729149.0,0.11131283496150832,0.06224777350752811,0.559214699087066
1,1-1-191-805,92136285.0,10677091.0,5645022.0,0.1158836716718066,0.06126817463933997,0.5287041198768466
2,2-39-138-566,102259770.0,4125911.0,2468966.0,0.040347352629484697,0.024144059780302655,0.5984050552714297
2,2-39-79-379,106895429.0,27613316.0,11688160.0,0.25832083053803917,0.10934200002134796,0.4232798407840623
2,2-39-79-378,99823550.0,17861429.0,8570765.0,0.1789300120061849,0.08585914846747085,0.47984766504404547
2,2-39-139-28,106916970.0,30984811.0,16226229.0,0.28980255426243373,0.1517647666221742,0.5236833298741116
