date,month,hour,dayOfTheWeek,site1_utilization,site2_utilization,site1_utilization_percentage,site2_utilization_percentage,temperature,precipitation
2018-01-07,1,16,6,0,0,0.0,0.0,21.0,0.0
2018-01-07,1,17,6,0,0,0.0,0.0,19.0,0.0
2018-01-07,1,18,6,0,0,0.0,0.0,19.0,0.0
2018-01-07,1,19,6,0,0,0.0,0.0,19.0,0.0
2018-01-07,1,20,6,0,0,0.0,0.0,19.0,0.0
2018-01-07,1,21,6,0,0,0.0,0.0,18.0,0.0
2018-01-07,1,22,6,0,0,0.0,0.0,17.0,0.0
2018-01-07,1,23,6,0,0,0.0,0.0,18.0,0.0
2018-01-08,1,0,0,0,0,0.0,0.0,17.0,0.0
2018-01-08,1,1,0,0,0,0.0,0.0,17.0,0.0
2018-01-08,1,2,0,0,0,0.0,0.0,17.0,0.0
2018-01-08,1,3,0,0,0,0.0,0.0,17.0,0.0
2018-01-08,1,4,0,0,0,0.0,0.0,16.0,0.0
2018-01-08,1,5,0,0,0,0.0,0.0,16.0,0.0
2018-01-08,1,6,0,0,0,0.0,0.0,16.0,0.25
2018-01-08,1,7,0,0,0,0.0,0.0,16.0,0.0
2018-01-08,1,8,0,0,0,0.0,0.0,16.0,0.0
2018-01-08,1,9,0,0,0,0.0,0.0,17.0,0.0
2018-01-08,1,10,0,0,0,0.0,0.0,18.0,0.0
2018-01-08,1,11,0,0,0,0.0,0.0,18.0,0.0
2018-01-08,1,12,0,0,0,0.0,0.0,17.5,0.635
2018-01-08,1,13,0,0,0,0.0,0.0,17.0,0.76
2018-01-08,1,14,0,0,0,0.0,0.0,16.0,1.52
2018-01-08,1,15,0,0,0,0.0,0.0,16.0,1.78
2018-01-08,1,16,0,0,0,0.0,0.0,15.0,4.57
2018-01-08,1,17,0,0,0,0.0,0.0,15.0,0.89
2018-01-08,1,18,0,0,0,0.0,0.0,15.5,0.0
2018-01-08,1,19,0,0,0,0.0,0.0,16.0,0.0
2018-01-08,1,20,0,0,0,0.0,0.0,16.0,0.0
2018-01-08,1,21,0,0,0,0.0,0.0,17.0,0.0
2018-01-08,1,22,0,0,0,0.0,0.0,17.0,0.0
2018-01-08,1,23,0,0,0,0.0,0.0,16.0,1.02
2018-01-09,1,0,1,0,0,0.0,0.0,14.666666666666666,2.6233333333333335
2018-01-09,1,1,1,0,0,0.0,0.0,14.0,2.032
2018-01-09,1,2,1,0,0,0.0,0.0,15.0,1.02
2018-01-09,1,3,1,0,0,0.0,0.0,14.0,0.38
2018-01-09,1,4,1,0,0,0.0,0.0,14.0,2.54
2018-01-09,1,5,1,0,0,0.0,0.0,13.666666666666666,1.27
2018-01-09,1,6,1,0,0,0.0,0.0,12.0,4.57
2018-01-09,1,7,1,0,0,0.0,0.0,12.0,1.02
2018-01-09,1,8,1,0,0,0.0,0.0,11.25,0.19
2018-01-09,1,9,1,0,0,0.0,0.0,12.0,0.51
2018-01-09,1,10,1,0,0,0.0,0.0,12.0,4.57
2018-01-09,1,11,1,0,0,0.0,0.0,13.0,1.27
2018-01-09,1,12,1,0,0,0.0,0.0,12.333333333333334,2.2833333333333337
2018-01-09,1,13,1,0,0,0.0,0.0,12.0,3.0500000000000003
2018-01-09,1,14,1,0,0,0.0,0.0,12.0,6.86
2018-01-09,1,15,1,0,0,0.0,0.0,12.0,1.5266666666666666
2018-01-09,1,16,1,0,0,0.0,0.0,12.0,0.25
2018-01-09,1,17,1,0,0,0.0,0.0,12.0,0.0
2018-01-09,1,18,1,0,0,0.0,0.0,12.0,0.0
2018-01-09,1,19,1,0,0,0.0,0.0,11.0,0.0
2018-01-09,1,20,1,0,0,0.0,0.0,10.0,0.0
2018-01-09,1,21,1,0,0,0.0,0.0,11.0,0.0
2018-01-09,1,22,1,0,0,0.0,0.0,9.0,0.0
2018-01-09,1,23,1,0,0,0.0,0.0,9.0,0.0
2018-01-10,1,0,2,0,0,0.0,0.0,9.0,0.0
2018-01-10,1,1,2,0,0,0.0,0.0,8.0,0.0
2018-01-10,1,2,2,0,0,0.0,0.0,8.0,0.0
2018-01-10,1,3,2,0,0,0.0,0.0,8.0,0.0
2018-01-10,1,4,2,0,0,0.0,0.0,7.0,0.0
2018-01-10,1,5,2,0,0,0.0,0.0,8.0,0.0
2018-01-10,1,6,2,0,0,0.0,0.0,7.0,0.0
2018-01-10,1,7,2,0,0,0.0,0.0,8.0,0.0
2018-01-10,1,8,2,0,0,0.0,0.0,11.0,0.0
2018-01-10,1,9,2,0,0,0.0,0.0,12.0,0.0
2018-01-10,1,10,2,0,0,0.0,0.0,14.0,0.0
2018-01-10,1,11,2,0,0,0.0,0.0,16.0,0.0
2018-01-10,1,12,2,0,0,0.0,0.0,17.0,0.0
2018-01-10,1,13,2,0,0,0.0,0.0,17.0,0.0
2018-01-10,1,14,2,0,0,0.0,0.0,18.0,0.0
2018-01-10,1,15,2,0,0,0.0,0.0,17.0,0.0
2018-01-10,1,16,2,0,0,0.0,0.0,17.0,0.0
2018-01-10,1,17,2,0,0,0.0,0.0,16.0,0.0
2018-01-10,1,18,2,0,0,0.0,0.0,14.0,0.0
2018-01-10,1,19,2,0,0,0.0,0.0,13.0,0.0
2018-01-10,1,20,2,0,0,0.0,0.0,13.0,0.0
2018-01-10,1,21,2,0,0,0.0,0.0,12.0,0.0
2018-01-10,1,22,2,0,0,0.0,0.0,12.0,0.0
2018-01-10,1,23,2,0,0,0.0,0.0,10.0,0.0
2018-01-11,1,0,3,0,0,0.0,0.0,10.0,0.0
2018-01-11,1,1,3,0,0,0.0,0.0,9.0,0.0
2018-01-11,1,2,3,0,0,0.0,0.0,9.0,0.0
2018-01-11,1,3,3,0,0,0.0,0.0,8.0,0.0
2018-01-11,1,4,3,0,0,0.0,0.0,8.0,0.0
2018-01-11,1,5,3,0,0,0.0,0.0,8.0,0.0
2018-01-11,1,6,3,0,0,0.0,0.0,8.0,0.0
2018-01-11,1,7,3,0,0,0.0,0.0,9.0,0.0
